Id,MemberId,LoanAmount,TransactionDate,MaturityDate,LoanStatus,InitialInterestAmount,ProductId,RepaymentAmount,RepaymentDate,RepaymentType
194,65,500.0,2024-12-06 11:46:31.367918+00:00,2024-12-14 00:00:00+00:00,fully_settled,92.5,4,592.5,2025-01-04 07:12:07.747290+00:00,allocation_repayment
191,61,500.0,2024-12-05 19:37:08.751599+00:00,2024-12-14 00:00:00+00:00,fully_settled,92.5,4,592.5,2025-01-04 07:12:16.343942+00:00,allocation_repayment
190,66,4000.0,2024-12-05 15:20:09.238750+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:12:24.448744+00:00,allocation_repayment
189,63,5000.0,2024-12-05 06:46:56.942012+00:00,2024-12-14 00:00:00+00:00,fully_settled,925.0,4,5925.0,2025-01-04 07:12:34.330281+00:00,allocation_repayment
187,75,3000.0,2024-12-04 18:42:22.851215+00:00,2024-12-14 00:00:00+00:00,fully_settled,555.0,4,3555.0,2025-01-04 07:26:07.798001+00:00,allocation_repayment
185,52,4000.0,2024-12-04 14:10:24.432000+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:26:13.632163+00:00,allocation_repayment
184,73,6000.0,2024-12-04 12:21:15.035277+00:00,2024-12-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-01-04 07:26:26.958976+00:00,allocation_repayment
181,67,4000.0,2024-12-04 08:49:05.307126+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:26:33.669854+00:00,allocation_repayment
180,60,5000.0,2024-12-04 08:41:26.818926+00:00,2024-12-14 00:00:00+00:00,fully_settled,925.0,4,5925.0,2025-01-04 07:26:39.308483+00:00,allocation_repayment
179,62,6000.0,2024-12-04 08:31:03.678219+00:00,2024-12-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-01-04 07:26:45.783452+00:00,allocation_repayment
178,74,7000.0,2024-12-03 20:37:00.545443+00:00,2024-12-14 00:00:00+00:00,fully_settled,1295.0,4,8295.0,2025-01-04 07:26:51.393212+00:00,allocation_repayment
177,72,6000.0,2024-12-03 20:08:29.819498+00:00,2024-12-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-01-04 07:27:01.243029+00:00,allocation_repayment
176,71,1500.0,2024-12-03 19:01:50.902158+00:00,2024-12-14 00:00:00+00:00,fully_settled,277.5,4,1777.5,2025-01-04 07:27:05.881895+00:00,allocation_repayment
175,55,6000.0,2024-12-03 17:58:40.021047+00:00,2024-12-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-01-04 07:27:10.848634+00:00,allocation_repayment
174,59,6000.0,2024-12-03 17:45:08.131620+00:00,2024-12-14 00:00:00+00:00,fully_settled,1110.0,4,7110.0,2025-01-04 07:27:16.144122+00:00,allocation_repayment
173,54,5000.0,2024-12-03 16:31:34.707832+00:00,2024-12-14 00:00:00+00:00,fully_settled,925.0,4,5925.0,2025-01-04 07:27:21.666715+00:00,allocation_repayment
172,49,4000.0,2024-12-03 15:39:13.719128+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:27:32.885575+00:00,allocation_repayment
171,51,4000.0,2024-12-03 15:35:40.660931+00:00,2024-12-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-01-04 07:27:40.733537+00:00,allocation_repayment
170,47,4500.0,2024-12-03 15:34:21.155102+00:00,2024-12-14 00:00:00+00:00,fully_settled,832.5,4,5332.5,2025-01-04 07:27:48.263857+00:00,allocation_repayment
205,4,350.0,2024-12-10 15:01:28.797970+00:00,2024-12-28 00:00:00+00:00,fully_settled,43.75,1,1.0,2024-12-18 09:48:03.239016+00:00,allocation_repayment
326,4,30.0,2025-01-07 19:39:23.770570+00:00,2025-01-28 00:00:00+00:00,fully_settled,3.75,1,1.0,2025-01-09 13:13:23.199622+00:00,allocation_repayment
326,4,30.0,2025-01-07 19:39:23.770570+00:00,2025-01-28 00:00:00+00:00,fully_settled,3.75,1,1.0,2025-01-09 13:58:02.853042+00:00,allocation_repayment
319,28,10.0,2025-02-22 10:28:14.107000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,11.25,2025-01-09 14:03:21.657039+00:00,allocation_repayment
318,28,10.0,2025-02-22 10:27:51.720000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,11.25,2025-01-09 14:05:29.136447+00:00,allocation_repayment
317,28,10.0,2025-02-22 10:28:11.758000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,2.0,2025-01-09 14:42:25.094398+00:00,allocation_repayment
317,28,10.0,2025-02-22 10:28:11.758000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,1.0,2025-01-09 14:59:16.490919+00:00,allocation_repayment
317,28,10.0,2025-02-22 10:28:11.758000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,8.25,2025-01-09 14:59:37.945793+00:00,allocation_repayment
316,28,10.0,2025-02-22 10:27:42.001000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,1.0,2025-01-09 15:04:06.780814+00:00,allocation_repayment
314,28,10.0,2025-02-22 10:27:47.826000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,5.0,2025-01-09 15:10:56.826185+00:00,allocation_repayment
314,28,10.0,2025-02-22 10:27:47.826000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,6.25,2025-01-09 15:11:20.059681+00:00,allocation_repayment
312,28,10.0,2025-02-22 10:38:45.778000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,11.25,2025-01-09 15:30:13.774184+00:00,allocation_repayment
294,51,4000.0,2025-01-04 07:53:42.099159+00:00,2025-01-14 00:00:00+00:00,fully_settled,740.0,4,4740.0,2025-02-03 11:02:45.562964+00:00,allocation_repayment
32,20,100.0,2024-11-26 13:56:36.933917+00:00,2024-11-28 00:00:00+00:00,fully_settled,12.5,1,112.5,2025-01-10 11:37:17.015247+00:00,self_loan_repayment
341,28,10.0,2025-02-22 10:27:57.181000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,1.0,2025-01-10 16:48:36.597380+00:00,allocation_repayment
341,28,10.0,2025-02-22 10:27:57.181000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,1.0,2025-01-14 15:35:03.266676+00:00,allocation_repayment
341,28,10.0,2025-02-22 10:27:57.181000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,1.0,2025-01-14 15:35:27.986358+00:00,allocation_repayment
325,2,2000.0,2025-01-07 19:01:36.504138+00:00,2025-01-28 00:00:00+00:00,fully_settled,250.0,1,1.0,2025-01-15 13:40:19.272104+00:00,allocation_repayment
316,28,10.0,2025-02-22 10:27:42.001000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,10.25,2025-01-15 14:08:50.758856+00:00,allocation_repayment
341,28,10.0,2025-02-22 10:27:57.181000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,8.25,2025-01-15 14:09:13.211511+00:00,allocation_repayment
315,28,10.0,2025-02-22 10:28:00.666000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,11.25,2025-01-15 14:09:35.330081+00:00,allocation_repayment
326,4,30.0,2025-01-07 19:39:23.770570+00:00,2025-01-28 00:00:00+00:00,fully_settled,3.75,1,1.0,2025-01-15 14:13:08.816935+00:00,allocation_repayment
311,28,10.0,2025-02-22 10:28:05.019000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,11.25,2025-01-15 14:51:39.238678+00:00,allocation_repayment
313,28,10.0,2025-02-22 10:28:03.105000+00:00,2025-01-28 00:00:00+00:00,fully_settled,1.25,1,11.25,2025-01-15 14:52:07.101971+00:00,allocation_repayment
326,4,30.0,2025-01-07 19:39:23.770570+00:00,2025-01-28 00:00:00+00:00,fully_settled,3.75,1,30.75,2025-01-21 17:24:42.068233+00:00,allocation_repayment
205,4,350.0,2024-12-10 15:01:28.797970+00:00,2024-12-28 00:00:00+00:00,fully_settled,43.75,1,150.0,2025-01-22 14:01:38.776260+00:00,allocation_repayment
205,4,350.0,2024-12-10 15:01:28.797970+00:00,2024-12-28 00:00:00+00:00,fully_settled,43.75,1,50.0,2025-01-22 14:05:44.443611+00:00,allocation_repayment
205,4,350.0,2024-12-10 15:01:28.797970+00:00,2024-12-28 00:00:00+00:00,fully_settled,43.75,1,191.75,2025-01-22 14:47:01.633758+00:00,allocation_repayment
400,4,100.0,2025-01-22 14:52:28.993469+00:00,2025-01-28 00:00:00+00:00,fully_settled,12.5,1,108.25,2025-01-26 12:41:20.110703+00:00,allocation_repayment
400,4,100.0,2025-01-22 14:52:28.993469+00:00,2025-01-28 00:00:00+00:00,fully_settled,12.5,1,4.25,2025-01-26 12:41:42.344319+00:00,allocation_repayment
40,33,2000.0,2024-11-27 10:26:09.761832+00:00,2024-11-28 00:00:00+00:00,fully_settled,250.0,1,2250.0,2025-01-27 15:20:50.845828+00:00,allocation_repayment
39,33,1000.0,2024-11-27 10:25:01.761930+00:00,2024-11-28 00:00:00+00:00,fully_settled,125.0,1,1125.0,2025-01-27 15:21:06.444847+00:00,allocation_repayment
37,33,1000.0,2024-11-27 10:17:06.955605+00:00,2024-11-28 00:00:00+00:00,fully_settled,125.0,1,1125.0,2025-01-27 15:21:23.954078+00:00,allocation_repayment
